Route CMX1SAUS7: buses=34, headway=9.62min, speed=0.11,  demand=8.70
Route CMX1ATRO6: buses=14, headway=8.34min, speed=0.12,  demand=3.04
Route CMX1CEUS8: buses=34, headway=8.82min, speed=0.10,  demand=10.42
Route CMX1ACAS9: buses=2, headway=8.00min, speed=0.17,  demand=1.00
Route CMX1AMOP9: buses=2, headway=8.00min, speed=0.16,  demand=1.00
Route CMX1AUIS7: buses=2, headway=8.00min, speed=0.15,  demand=1.00
Route CMX1CASS7: buses=6, headway=8.00min, speed=0.15,  demand=1.08
Route CMX1CONG5: buses=2, headway=8.00min, speed=0.16,  demand=1.00
Route CMX1COAV6: buses=2, headway=8.00min, speed=0.19,  demand=1.00
Route CMX1COPA4: buses=4, headway=8.00min, speed=0.17,  demand=1.21
Route CMX1COPE3: buses=2, headway=8.00min, speed=0.18,  demand=1.00
Route CMX1CORE7: buses=2, headway=8.00min, speed=0.16,  demand=1.00
Route CMX1COTA9: buses=4, headway=8.00min, speed=0.17,  demand=1.00
Route CMX1COTO0: buses=2, headway=8.00min, speed=0.16,  demand=1.00
Route CMX1COTX0: buses=2, headway=8.00min, speed=0.17,  demand=1.00
Route CMX1COVI8: buses=2, headway=8.00min, speed=0.18,  demand=1.00
Route CMX1COVI9: buses=2, headway=8.00min, speed=0.16,  demand=1.00
Route CMX1ESAS9: buses=6, headway=8.00min, speed=0.17,  demand=1.00
Route CMX1ITEC3: buses=2, headway=8.00min, speed=0.19,  demand=1.00
Route CMX1TREP0: buses=2, headway=8.00min, speed=0.20,  demand=1.00
Route CMX1TRES7: buses=2, headway=8.00min, speed=0.18,  demand=1.00
Route CMX1SIME4: buses=2, headway=8.00min, speed=0.17,  demand=1.00
Route CMX1TRIO2: buses=4, headway=8.00min, speed=0.16,  demand=1.50
Route CMX300L18: buses=24, headway=5.96min, speed=0.18,  demand=17.53
Route CMX300L20: buses=44, headway=9.70min, speed=0.18,  demand=32.15
Route CMX300L32: buses=34, headway=11.35min, speed=0.17,  demand=24.85
Route CMX300L44: buses=21, headway=11.10min, speed=0.11,  demand=11.52
Route CMX300L57: buses=18, headway=5.72min, speed=0.17,  demand=13.89
Route CMX300L69: buses=34, headway=8.15min, speed=0.16,  demand=23.95
Route CMX300L71: buses=20, headway=8.04min, speed=0.17,  demand=8.98
Route CMX200L16: buses=10, headway=2.27min, speed=0.28,  demand=10.00
Route CMX200L28: buses=10, headway=2.27min, speed=0.29,  demand=10.00
Route CMX200L30: buses=10, headway=2.72min, speed=0.30,  demand=10.00
Route CMX200L42: buses=6, headway=5.83min, speed=0.32,  demand=6.00
Route CMX200L55: buses=10, headway=4.57min, speed=0.34,  demand=10.00
Route CMX200L67: buses=10, headway=4.60min, speed=0.34,  demand=10.00
Route CMX200L79: buses=10, headway=4.47min, speed=0.35,  demand=10.00
Route CMX200L81: buses=10, headway=3.33min, speed=0.32,  demand=10.00
Route CMX200L93: buses=10, headway=3.25min, speed=0.34,  demand=10.00
Route CMX200LA6: buses=10, headway=3.70min, speed=0.38,  demand=10.00
Route CMX200LB8: buses=10, headway=3.31min, speed=0.32,  demand=10.00
Route CMX20L122: buses=10, headway=4.80min, speed=0.33,  demand=9.52
